"CommandID","ParameterName","ParameterType","IsRequired","Description"
"10","Wow6432Node","SwitchParameter","0","Specifies that the 32-bit registry view (Wow6432Node) should be used on a 64-bit system."
"10","Verbose","SwitchParameter","0","No description available."
"10","Debug","SwitchParameter","0","No description available."
"10","ErrorAction","ActionPreference","0","No description available."
"10","WarningAction","ActionPreference","0","No description available."
"10","InformationAction","ActionPreference","0","No description available."
"10","ErrorVariable","String","0","No description available."
"10","WarningVariable","String","0","No description available."
"10","InformationVariable","String","0","No description available."
"10","OutVariable","String","0","No description available."
"10","OutBuffer","Int32","0","No description available."
"10","PipelineVariable","String","0","No description available."
"11","RemainingArguments","List`1","1","The collected values to enumerate and process into a dictionary."
"11","Verbose","SwitchParameter","0","No description available."
"11","Debug","SwitchParameter","0","No description available."
"11","ErrorAction","ActionPreference","0","No description available."
"11","WarningAction","ActionPreference","0","No description available."
"11","InformationAction","ActionPreference","0","No description available."
"11","ErrorVariable","String","0","No description available."
"11","WarningVariable","String","0","No description available."
"11","InformationVariable","String","0","No description available."
"11","OutVariable","String","0","No description available."
"11","OutBuffer","Int32","0","No description available."
"11","PipelineVariable","String","0","No description available."
"12","Value","Int64","1","The value to convert."
"12","To","ValueTypes","1","What to cast the value to."
"12","Verbose","SwitchParameter","0","No description available."
"12","Debug","SwitchParameter","0","No description available."
"12","ErrorAction","ActionPreference","0","No description available."
"12","WarningAction","ActionPreference","0","No description available."
"12","InformationAction","ActionPreference","0","No description available."
"12","ErrorVariable","String","0","No description available."
"12","WarningVariable","String","0","No description available."
"12","InformationVariable","String","0","No description available."
"12","OutVariable","String","0","No description available."
"12","OutBuffer","Int32","0","No description available."
"12","PipelineVariable","String","0","No description available."
"13","AccountName","NTAccount","1","The Windows NT Account name specified in <domain>\<username> format.    Use fully qualified account names (e.g., <domain>\<username>) instead of isolated names (e.g, <username>) because they are unambiguous and   provide better performance."
"13","SID","SecurityIdentifier","1","The Windows NT Account SID."
"13","WellKnownSIDName","WellKnownSidType","1","Specify the Well Known SID name translate to the actual SID (e.g., LocalServiceSid).    To get all well known SIDs available on system: [Enum]::GetNames([Security.Principal.WellKnownSidType])"
"13","WellKnownToNTAccount","SwitchParameter","0","Convert the Well Known SID to an NTAccount name."
"13","LocalHost","SwitchParameter","0","Avoids a costly domain check when only converting local accounts."
"13","Verbose","SwitchParameter","0","No description available."
"13","Debug","SwitchParameter","0","No description available."
"13","ErrorAction","ActionPreference","0","No description available."
"13","WarningAction","ActionPreference","0","No description available."
"13","InformationAction","ActionPreference","0","No description available."
"13","ErrorVariable","String","0","No description available."
"13","WarningVariable","String","0","No description available."
"13","InformationVariable","String","0","No description available."
"13","OutVariable","String","0","No description available."
"13","OutBuffer","Int32","0","No description available."
"13","PipelineVariable","String","0","No description available."
"14","Path","String","0","The path to the software cache folder."
"14","Verbose","SwitchParameter","0","No description available."
"14","Debug","SwitchParameter","0","No description available."
"14","ErrorAction","ActionPreference","0","No description available."
"14","WarningAction","ActionPreference","0","No description available."
"14","InformationAction","ActionPreference","0","No description available."
"14","ErrorVariable","String","0","No description available."
"14","WarningVariable","String","0","No description available."
"14","InformationVariable","String","0","No description available."
"14","OutVariable","String","0","No description available."
"14","OutBuffer","Int32","0","No description available."
"14","PipelineVariable","String","0","No description available."
"15","Path","String[]","1","Path of the file to copy. Multiple paths can be specified."
"15","Destination","String","1","Destination Path of the file to copy."
"15","Recurse","SwitchParameter","0","Copy files in subdirectories."
"15","Flatten","SwitchParameter","0","Flattens the files into the root destination directory."
"15","ContinueFileCopyOnError","SwitchParameter","0","Continue copying files if an error is encountered. This will continue the deployment script and will warn about files that failed to be   copied."
"15","FileCopyMode","String","0","Select from 'Native' or 'Robocopy'. Default is configured in config.psd1. Note that Robocopy supports * in file names, but not folders, in   source paths."
"15","RobocopyParams","String","0","Override the default Robocopy parameters. Default is: /NJH /NJS /NS /NC /NP /NDL /FP /IS /IT /IM /XX /MT:4 /R:1 /W:1"
"15","RobocopyAdditionalParams","String","0","Append to the default Robocopy parameters. Default is: /NJH /NJS /NS /NC /NP /NDL /FP /IS /IT /IM /XX /MT:4 /R:1 /W:1"
"15","Verbose","SwitchParameter","0","No description available."
"15","Debug","SwitchParameter","0","No description available."
"15","ErrorAction","ActionPreference","0","No description available."
"15","WarningAction","ActionPreference","0","No description available."
"15","InformationAction","ActionPreference","0","No description available."
"15","ErrorVariable","String","0","No description available."
"15","WarningVariable","String","0","No description available."
"15","InformationVariable","String","0","No description available."
"15","OutVariable","String","0","No description available."
"15","OutBuffer","Int32","0","No description available."
"15","PipelineVariable","String","0","No description available."
"16","Path","String[]","1","The path of the file or folder to copy."
"16","Destination","String","0","The path of the destination folder to append to the root of the user profile."
"16","BasePath","String","0","The base path to append the destination folder to. Default is: Profile. Options are: Profile, AppData, LocalAppData, Desktop, Documents,   StartMenu, Temp, OneDrive, OneDriveCommercial."
"16","Recurse","SwitchParameter","0","Copy files in subdirectories."
"16","Flatten","SwitchParameter","0","Flattens the files into the root destination directory."
"16","FileCopyMode","String","0","Select from 'Native' or 'Robocopy'. Default is configured in config.psd1. Note that Robocopy supports * in file names, but not folders, in   source paths."
"16","RobocopyParams","String","0","Override the default Robocopy parameters. Default is: /NJH /NJS /NS /NC /NP /NDL /FP /IS /IT /IM /XX /MT:4 /R:1 /W:1"
"16","RobocopyAdditionalParams","String","0","Append to the default Robocopy parameters. Default is: /NJH /NJS /NS /NC /NP /NDL /FP /IS /IT /IM /XX /MT:4 /R:1 /W:1"
"16","ExcludeNTAccount","String[]","0","Specify NT account names in Domain\Username format to exclude from the list of user profiles."
"16","IncludeSystemProfiles","SwitchParameter","0","Include system profiles: SYSTEM, LOCAL SERVICE, NETWORK SERVICE. Default is: $false."
"16","IncludeServiceProfiles","SwitchParameter","0","Include service profiles where NTAccount begins with NT SERVICE. Default is: $false."
"16","ExcludeDefaultUser","SwitchParameter","0","Exclude the Default User. Default is: $false."
"16","ContinueFileCopyOnError","SwitchParameter","0","Continue copying files if an error is encountered. This will continue the deployment script and will warn about files that failed to be   copied."
"16","Verbose","SwitchParameter","0","No description available."
"16","Debug","SwitchParameter","0","No description available."
"16","ErrorAction","ActionPreference","0","No description available."
"16","WarningAction","ActionPreference","0","No description available."
"16","InformationAction","ActionPreference","0","No description available."
"16","ErrorVariable","String","0","No description available."
"16","WarningVariable","String","0","No description available."
"16","InformationVariable","String","0","No description available."
"16","OutVariable","String","0","No description available."
"16","OutBuffer","Int32","0","No description available."
"16","PipelineVariable","String","0","No description available."
"17","Verbose","SwitchParameter","0","No description available."
"17","Debug","SwitchParameter","0","No description available."
"17","ErrorAction","ActionPreference","0","No description available."
"17","WarningAction","ActionPreference","0","No description available."
"17","InformationAction","ActionPreference","0","No description available."
"17","ErrorVariable","String","0","No description available."
"17","WarningVariable","String","0","No description available."
"17","InformationVariable","String","0","No description available."
"17","OutVariable","String","0","No description available."
"17","OutBuffer","Int32","0","No description available."
"17","PipelineVariable","String","0","No description available."
"18","ImagePath","FileInfo[]","1","The path to the WIM file."
"18","Path","DirectoryInfo[]","1","The path to the WIM mount point."
"18","Verbose","SwitchParameter","0","No description available."
"18","Debug","SwitchParameter","0","No description available."
"18","ErrorAction","ActionPreference","0","No description available."
"18","WarningAction","ActionPreference","0","No description available."
"18","InformationAction","ActionPreference","0","No description available."
"18","ErrorVariable","String","0","No description available."
"18","WarningVariable","String","0","No description available."
"18","InformationVariable","String","0","No description available."
"18","OutVariable","String","0","No description available."
"18","OutBuffer","Int32","0","No description available."
"18","PipelineVariable","String","0","No description available."
"19","Verbose","SwitchParameter","0","No description available."
"19","Debug","SwitchParameter","0","No description available."
"19","ErrorAction","ActionPreference","0","No description available."
"19","WarningAction","ActionPreference","0","No description available."
"19","InformationAction","ActionPreference","0","No description available."
"19","ErrorVariable","String","0","No description available."
"19","WarningVariable","String","0","No description available."
"19","InformationVariable","String","0","No description available."
"19","OutVariable","String","0","No description available."
"19","OutBuffer","Int32","0","No description available."
"19","PipelineVariable","String","0","No description available."
"20","SessionState","SessionState","1","Caller's SessionState."
"20","Verbose","SwitchParameter","0","No description available."
"20","Debug","SwitchParameter","0","No description available."
"20","ErrorAction","ActionPreference","0","No description available."
"20","WarningAction","ActionPreference","0","No description available."
"20","InformationAction","ActionPreference","0","No description available."
"20","ErrorVariable","String","0","No description available."
"20","WarningVariable","String","0","No description available."
"20","InformationVariable","String","0","No description available."
"20","OutVariable","String","0","No description available."
"20","OutBuffer","Int32","0","No description available."
"20","PipelineVariable","String","0","No description available."
"21","Name","String[]","0","The name of the application to retrieve information for. Performs a contains match on the application display name by default."
"21","NameMatch","String","0","Specifies the type of match to perform on the application name. Valid values are 'Contains', 'Exact', 'Wildcard', and 'Regex'. The default   value is 'Contains'."
"21","ProductCode","Guid[]","0","The product code of the application to retrieve information for."
"21","ApplicationType","String","0","Specifies the type of application to remove. Valid values are 'All', 'MSI', and 'EXE'. The default value is 'All'."
"21","IncludeUpdatesAndHotfixes","SwitchParameter","0","Include matches against updates and hotfixes in results."
"21","FilterScript","ScriptBlock","0","A script used to filter the results as they're processed."
"21","Verbose","SwitchParameter","0","No description available."
"21","Debug","SwitchParameter","0","No description available."
"21","ErrorAction","ActionPreference","0","No description available."
"21","WarningAction","ActionPreference","0","No description available."
"21","InformationAction","ActionPreference","0","No description available."
"21","ErrorVariable","String","0","No description available."
"21","WarningVariable","String","0","No description available."
"21","InformationVariable","String","0","No description available."
"21","OutVariable","String","0","No description available."
"21","OutBuffer","Int32","0","No description available."
"21","PipelineVariable","String","0","No description available."
"22","Invocation","InvocationInfo","1","The script or function's InvocationInfo ($MyInvocation) to process."
"22","ParameterSetName","String","0","The ParameterSetName to use as a filter against the Invocation's parameters."
"22","HelpMessage","String","0","The HelpMessage field to use as a filter against the Invocation's parameters."
"22","Exclude","String[]","0","One or more parameter names to exclude from the results."
"22","CommonParameters","SwitchParameter","0","Specifies whether PowerShell advanced function common parameters should be included."
"22","Verbose","SwitchParameter","0","No description available."
"22","Debug","SwitchParameter","0","No description available."
"22","ErrorAction","ActionPreference","0","No description available."
"22","WarningAction","ActionPreference","0","No description available."
"22","InformationAction","ActionPreference","0","No description available."
"22","ErrorVariable","String","0","No description available."
"22","WarningVariable","String","0","No description available."
"22","InformationVariable","String","0","No description available."
"22","OutVariable","String","0","No description available."
"22","OutBuffer","Int32","0","No description available."
"22","PipelineVariable","String","0","No description available."
"24","Verbose","SwitchParameter","0","No description available."
"24","Debug","SwitchParameter","0","No description available."
"24","ErrorAction","ActionPreference","0","No description available."
"24","WarningAction","ActionPreference","0","No description available."
"24","InformationAction","ActionPreference","0","No description available."
"24","ErrorVariable","String","0","No description available."
"24","WarningVariable","String","0","No description available."
"24","InformationVariable","String","0","No description available."
"24","OutVariable","String","0","No description available."
"24","OutBuffer","Int32","0","No description available."
"24","PipelineVariable","String","0","No description available."
"25","Verbose","SwitchParameter","0","No description available."
"25","Debug","SwitchParameter","0","No description available."
"25","ErrorAction","ActionPreference","0","No description available."
"25","WarningAction","ActionPreference","0","No description available."
"25","InformationAction","ActionPreference","0","No description available."
"25","ErrorVariable","String","0","No description available."
"25","WarningVariable","String","0","No description available."
"25","InformationVariable","String","0","No description available."
"25","OutVariable","String","0","No description available."
"25","OutBuffer","Int32","0","No description available."
"25","PipelineVariable","String","0","No description available."
"26","Verbose","SwitchParameter","0","No description available."
"26","Debug","SwitchParameter","0","No description available."
"26","ErrorAction","ActionPreference","0","No description available."
"26","WarningAction","ActionPreference","0","No description available."
"26","InformationAction","ActionPreference","0","No description available."
"26","ErrorVariable","String","0","No description available."
"26","WarningVariable","String","0","No description available."
"26","InformationVariable","String","0","No description available."
"26","OutVariable","String","0","No description available."
"26","OutBuffer","Int32","0","No description available."
"26","PipelineVariable","String","0","No description available."
"27","Verbose","SwitchParameter","0","No description available."
"27","Debug","SwitchParameter","0","No description available."
"27","ErrorAction","ActionPreference","0","No description available."
"27","WarningAction","ActionPreference","0","No description available."
"27","InformationAction","ActionPreference","0","No description available."
"27","ErrorVariable","String","0","No description available."
"27","WarningVariable","String","0","No description available."
"27","InformationVariable","String","0","No description available."
"27","OutVariable","String","0","No description available."
"27","OutBuffer","Int32","0","No description available."
"27","PipelineVariable","String","0","No description available."
"28","File","FileInfo","1","The path of the file."
"28","ProductVersion","SwitchParameter","0","Switch that makes the command return ProductVersion instead of FileVersion."
"28","Verbose","SwitchParameter","0","No description available."
"28","Debug","SwitchParameter","0","No description available."
"28","ErrorAction","ActionPreference","0","No description available."
"28","WarningAction","ActionPreference","0","No description available."
"28","InformationAction","ActionPreference","0","No description available."
"28","ErrorVariable","String","0","No description available."
"28","WarningVariable","String","0","No description available."
"28","InformationVariable","String","0","No description available."
"28","OutVariable","String","0","No description available."
"28","OutBuffer","Int32","0","No description available."
"28","PipelineVariable","String","0","No description available."
"29","Drive","DriveInfo","0","The drive to check free disk space on."
"29","Verbose","SwitchParameter","0","No description available."
"29","Debug","SwitchParameter","0","No description available."
"29","ErrorAction","ActionPreference","0","No description available."
"29","WarningAction","ActionPreference","0","No description available."
"29","InformationAction","ActionPreference","0","No description available."
"29","ErrorVariable","String","0","No description available."
"29","WarningVariable","String","0","No description available."
"29","InformationVariable","String","0","No description available."
"29","OutVariable","String","0","No description available."
"29","OutBuffer","Int32","0","No description available."
"29","PipelineVariable","String","0","No description available."
"30","FilePath","String","1","Path to the INI file."
"30","Section","String","1","Section within the INI file."
"30","Key","String","1","Key within the section of the INI file."
"30","Verbose","SwitchParameter","0","No description available."
"30","Debug","SwitchParameter","0","No description available."
"30","ErrorAction","ActionPreference","0","No description available."
"30","WarningAction","ActionPreference","0","No description available."
"30","InformationAction","ActionPreference","0","No description available."
"30","ErrorVariable","String","0","No description available."
"30","WarningVariable","String","0","No description available."
"30","InformationVariable","String","0","No description available."
"30","OutVariable","String","0","No description available."
"30","OutBuffer","Int32","0","No description available."
"30","PipelineVariable","String","0","No description available."
"31","Verbose","SwitchParameter","0","No description available."
"31","Debug","SwitchParameter","0","No description available."
"31","ErrorAction","ActionPreference","0","No description available."
"31","WarningAction","ActionPreference","0","No description available."
"31","InformationAction","ActionPreference","0","No description available."
"31","ErrorVariable","String","0","No description available."
"31","WarningVariable","String","0","No description available."
"31","InformationVariable","String","0","No description available."
"31","OutVariable","String","0","No description available."
"31","OutBuffer","Int32","0","No description available."
"31","PipelineVariable","String","0","No description available."
"32","MsiExitCode","UInt32","1","MSI exit code."
"32","Verbose","SwitchParameter","0","No description available."
"32","Debug","SwitchParameter","0","No description available."
"32","ErrorAction","ActionPreference","0","No description available."
"32","WarningAction","ActionPreference","0","No description available."
"32","InformationAction","ActionPreference","0","No description available."
"32","ErrorVariable","String","0","No description available."
"32","WarningVariable","String","0","No description available."
"32","InformationVariable","String","0","No description available."
"32","OutVariable","String","0","No description available."
"32","OutBuffer","Int32","0","No description available."
"32","PipelineVariable","String","0","No description available."
"33","Path","String","1","The fully qualified path to an database file. Supports .msi and .msp files."
"33","TransformPath","String[]","0","The fully qualified path to a list of MST file(s) which should be applied to the MSI file."
"33","Table","String","0","The name of the the MSI table from which all of the properties must be retrieved. Default is: 'Property'."
"33","TablePropertyNameColumnNum","Int32","0","Specify the table column number which contains the name of the properties. Default is: 1 for MSIs and 2 for MSPs."
"33","TablePropertyValueColumnNum","Int32","0","Specify the table column number which contains the value of the properties. Default is: 2 for MSIs and 3 for MSPs."
"33","GetSummaryInformation","SwitchParameter","1","Retrieves the Summary Information for the Windows Installer database.    Summary Information property descriptions: https://msdn.microsoft.com/en-us/library/aa372049(v=vs.85).aspx"
"33","Verbose","SwitchParameter","0","No description available."
"33","Debug","SwitchParameter","0","No description available."
"33","ErrorAction","ActionPreference","0","No description available."
"33","WarningAction","ActionPreference","0","No description available."
"33","InformationAction","ActionPreference","0","No description available."
"33","ErrorVariable","String","0","No description available."
"33","WarningVariable","String","0","No description available."
"33","InformationVariable","String","0","No description available."
"33","OutVariable","String","0","No description available."
"33","OutBuffer","Int32","0","No description available."
"33","PipelineVariable","String","0","No description available."
"34","InputObject","Object","1","Specifies an object which has properties that can be retrieved."
"34","PropertyName","String","1","Specifies the name of a property to retrieve."
"34","ArgumentList","Object[]","0","Argument to pass to the property being retrieved."
"34","Verbose","SwitchParameter","0","No description available."
"34","Debug","SwitchParameter","0","No description available."
"34","ErrorAction","ActionPreference","0","No description available."
"34","WarningAction","ActionPreference","0","No description available."
"34","InformationAction","ActionPreference","0","No description available."
"34","ErrorVariable","String","0","No description available."
"34","WarningVariable","String","0","No description available."
"34","InformationVariable","String","0","No description available."
"34","OutVariable","String","0","No description available."
"34","OutBuffer","Int32","0","No description available."
"34","PipelineVariable","String","0","No description available."
"36","FilePath","FileInfo[]","1","Path to the PE file to examine."
"36","PassThru","SwitchParameter","0","Get the file object, attach a property indicating the file binary type, and write to pipeline."
"36","Verbose","SwitchParameter","0","No description available."
"36","Debug","SwitchParameter","0","No description available."
"36","ErrorAction","ActionPreference","0","No description available."
"36","WarningAction","ActionPreference","0","No description available."
"36","InformationAction","ActionPreference","0","No description available."
"36","ErrorVariable","String","0","No description available."
"36","WarningVariable","String","0","No description available."
"36","InformationVariable","String","0","No description available."
"36","OutVariable","String","0","No description available."
"36","OutBuffer","Int32","0","No description available."
"36","PipelineVariable","String","0","No description available."
"37","Verbose","SwitchParameter","0","No description available."
"37","Debug","SwitchParameter","0","No description available."
"37","ErrorAction","ActionPreference","0","No description available."
"37","WarningAction","ActionPreference","0","No description available."
"37","InformationAction","ActionPreference","0","No description available."
"37","ErrorVariable","String","0","No description available."
"37","WarningVariable","String","0","No description available."
"37","InformationVariable","String","0","No description available."
"37","OutVariable","String","0","No description available."
"37","OutBuffer","Int32","0","No description available."
"37","PipelineVariable","String","0","No description available."
"39","Verbose","SwitchParameter","0","No description available."
"39","Debug","SwitchParameter","0","No description available."
"39","ErrorAction","ActionPreference","0","No description available."
"39","WarningAction","ActionPreference","0","No description available."
"39","InformationAction","ActionPreference","0","No description available."
"39","ErrorVariable","String","0","No description available."
"39","WarningVariable","String","0","No description available."
"39","InformationVariable","String","0","No description available."
"39","OutVariable","String","0","No description available."
"39","OutBuffer","Int32","0","No description available."
"39","PipelineVariable","String","0","No description available."
"40","Key","String","1","Path of the registry key."
"40","Name","String","0","Value name to retrieve (optional)."
"40","Wow6432Node","SwitchParameter","0","Specify this switch to read the 32-bit registry (Wow6432Node) on 64-bit systems."
"40","SID","String","0","The security identifier (SID) for a user. Specifying this parameter will convert a HKEY_CURRENT_USER registry key to the HKEY_USERS\$SID format.  Specify this parameter from the Invoke-ADTAllUsersRegistryAction function to read/edit HKCU registry settings for all users on the system."
"40","ReturnEmptyKeyIfExists","SwitchParameter","0","Return the registry key if it exists but it has no property/value pairs underneath it. Default is: $false."
"40","DoNotExpandEnvironmentNames","SwitchParameter","0","Return unexpanded REG_EXPAND_SZ values. Default is: $false."
"40","Verbose","SwitchParameter","0","No description available."
"40","Debug","SwitchParameter","0","No description available."
"40","ErrorAction","ActionPreference","0","No description available."
"40","WarningAction","ActionPreference","0","No description available."
"40","InformationAction","ActionPreference","0","No description available."
"40","ErrorVariable","String","0","No description available."
"40","WarningVariable","String","0","No description available."
"40","InformationVariable","String","0","No description available."
"40","OutVariable","String","0","No description available."
"40","OutBuffer","Int32","0","No description available."
"40","PipelineVariable","String","0","No description available."
"41","UserSessionInfo","CompatibilitySessionInfo[]","0","An array of UserSessionInfo objects to enumerate through. If not supplied, a fresh query will be performed."
"41","Verbose","SwitchParameter","0","No description available."
"41","Debug","SwitchParameter","0","No description available."
"41","ErrorAction","ActionPreference","0","No description available."
"41","WarningAction","ActionPreference","0","No description available."
"41","InformationAction","ActionPreference","0","No description available."
"41","ErrorVariable","String","0","No description available."
"41","WarningVariable","String","0","No description available."
"41","InformationVariable","String","0","No description available."
"41","OutVariable","String","0","No description available."
"41","OutBuffer","Int32","0","No description available."
"41","PipelineVariable","String","0","No description available."
"42","TaskName","String","0","Specify the name of the scheduled task to retrieve details for. Uses regex match to find scheduled task."
"42","Verbose","SwitchParameter","0","No description available."
"42","Debug","SwitchParameter","0","No description available."
"42","ErrorAction","ActionPreference","0","No description available."
"42","WarningAction","ActionPreference","0","No description available."
"42","InformationAction","ActionPreference","0","No description available."
"42","ErrorVariable","String","0","No description available."
"42","WarningVariable","String","0","No description available."
"42","InformationVariable","String","0","No description available."
"42","OutVariable","String","0","No description available."
"42","OutBuffer","Int32","0","No description available."
"42","PipelineVariable","String","0","No description available."
"43","Service","ServiceController","1","Specify the service object to retrieve the startup mode for."
"43","Verbose","SwitchParameter","0","No description available."
"43","Debug","SwitchParameter","0","No description available."
"43","ErrorAction","ActionPreference","0","No description available."
"43","WarningAction","ActionPreference","0","No description available."
"43","InformationAction","ActionPreference","0","No description available."
"43","ErrorVariable","String","0","No description available."
"43","WarningVariable","String","0","No description available."
"43","InformationVariable","String","0","No description available."
"43","OutVariable","String","0","No description available."
"43","OutBuffer","Int32","0","No description available."
"43","PipelineVariable","String","0","No description available."
"44","Verbose","SwitchParameter","0","No description available."
"44","Debug","SwitchParameter","0","No description available."
"44","ErrorAction","ActionPreference","0","No description available."
"44","WarningAction","ActionPreference","0","No description available."
"44","InformationAction","ActionPreference","0","No description available."
"44","ErrorVariable","String","0","No description available."
"44","WarningVariable","String","0","No description available."
"44","InformationVariable","String","0","No description available."
"44","OutVariable","String","0","No description available."
"44","OutBuffer","Int32","0","No description available."
"44","PipelineVariable","String","0","No description available."
"45","Path","String","1","Path to the shortcut to get information from."
"45","Verbose","SwitchParameter","0","No description available."
"45","Debug","SwitchParameter","0","No description available."
"45","ErrorAction","ActionPreference","0","No description available."
"45","WarningAction","ActionPreference","0","No description available."
"45","InformationAction","ActionPreference","0","No description available."
"45","ErrorVariable","String","0","No description available."
"45","WarningVariable","String","0","No description available."
"45","InformationVariable","String","0","No description available."
"45","OutVariable","String","0","No description available."
"45","OutBuffer","Int32","0","No description available."
"45","PipelineVariable","String","0","No description available."
"46","Verbose","SwitchParameter","0","No description available."
"46","Debug","SwitchParameter","0","No description available."
"46","ErrorAction","ActionPreference","0","No description available."
"46","WarningAction","ActionPreference","0","No description available."
"46","InformationAction","ActionPreference","0","No description available."
"46","ErrorVariable","String","0","No description available."
"46","WarningVariable","String","0","No description available."
"46","InformationVariable","String","0","No description available."
